Publisher,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales
Sammy Corporation,0.41,0.31,1.9100000000000001,0.1,2.73
Telltale Games,1.28,1.0,0.03,0.39,2.72
Midas Interactive Entertainment,1.34,0.97,0.15,0.26,2.72
Takara Tomy,0.76,0.03,1.85,0.08,2.7
Imagineer,0.09,0.03,2.5300000000000002,0.0,2.65
Alchemist,0.59,0.46,1.42,0.15,2.63
SNK,0.04,0.03,2.48,0.04,2.5900000000000003
NCSoft,1.05,1.1900000000000002,0.0,0.32999999999999996,2.59
Rondomedia,1.1700000000000002,1.13,0.0,0.26,2.58
Compile,0.0,0.0,2.35,0.1,2.46
Kalypso Media,1.0,1.06,0.09,0.25,2.45
Marvelous Entertainment,0.7999999999999999,0.22,1.17,0.15,2.33
Red Storm Entertainment,1.43,0.8,0.0,0.09,2.32
UEP Systems,1.52,0.46,0.2,0.08,2.25
Mastiff,2.04,0.05,0.0,0.14,2.23
Enterbrain,0.12,0.1,1.94,0.07,2.23
Kemco,1.61,0.49,0.05,0.04,2.22
Video System,0.67,1.04,0.37,0.09,2.18
Little Orbit,0.53,1.31,0.0,0.16,2.04
ASC Games,1.1199999999999999,0.77,0.0,0.13,2.02
Microprose,0.7,1.19,0.0,0.16,2.02
RTL,0.83,0.9800000000000001,0.0,0.2,2.0
Success,1.12,0.49,0.22,0.09000000000000001,1.96
Agetec,0.78,0.58,0.38,0.19,1.9400000000000002
20th Century Fox Video Games,1.82,0.1,0.0,0.01,1.9400000000000002
Nobilis,1.6099999999999999,0.18,0.02,0.13999999999999999,1.94
Jaleco,0.79,0.42000000000000004,0.64,0.1,1.94
Zushi Games,1.67,0.05,0.01,0.11,1.89
Metro 3D,0.77,0.47000000000000003,0.42000000000000004,0.15,1.84
Rocket Company,0.0,0.0,1.82,0.0,1.82
System 3 Arcade Software,0.96,0.63,0.0,0.2,1.8
Valve,0.83,0.63,0.02,0.25,1.74
Mastertronic,1.07,0.5,0.0,0.13,1.73
Crystal Dynamics,0.95,0.65,0.0,0.12,1.71
Hudson Entertainment,0.33,0.05,1.21,0.1,1.69
Avanquest Software,0.9500000000000001,0.53,0.03,0.17,1.69
Accolade,1.25,0.34,0.0,0.07,1.6800000000000002
Xplosiv,0.61,0.8600000000000001,0.0,0.17,1.6400000000000001
From Software,0.35,0.21,0.99,0.1,1.6300000000000001
5pb,0.02,0.0,1.61,0.0,1.6300000000000001
Hello Games,0.58,0.74,0.02,0.26,1.6
Touchstone,0.88,0.5,0.02,0.19,1.58
PopCap Games,1.1,0.34,0.0,0.12,1.57
Storm City Games,1.35,0.1,0.0,0.08,1.56
LEGO Media,1.01,0.5,0.0,0.05,1.56
Westwood Studios,1.55,0.0,0.0,0.0,1.55
Laguna,0.16,0.04,1.34,0.01,1.55
JoWood Productions,0.87,0.48,0.01,0.14,1.49
Arc System Works,0.78,0.0,0.5700000000000001,0.12000000000000001,1.48
Knowledge Adventure,1.23,0.16,0.0,0.06999999999999999,1.47
Genki,0.49,0.35000000000000003,0.52,0.11,1.46
XS Games,1.18,0.17,0.0,0.11,1.46
Tigervision,1.33,0.09,0.0,0.01,1.42
Rage Software,0.81,0.47000000000000003,0.0,0.13,1.42
Pinnacle,0.0,1.3199999999999998,0.0,0.09999999999999999,1.42
GameMill Entertainment,1.28,0.04,0.0,0.09,1.3800000000000001
Slightly Mad Studios,0.25,0.9199999999999999,0.02,0.18,1.3800000000000001
Compile Heart,0.5,0.03,0.77,0.07,1.37
NewKidCo,0.89,0.38,0.0,0.04,1.33
FuRyu,0.11,0.02,1.17,0.01,1.32
Milestone S.r.l.,0.23,0.78,0.1,0.16,1.28
Aqua Plus,0.05,0.0,1.19,0.02,1.25
Brash Entertainment,0.89,0.21000000000000002,0.0,0.11,1.23
Russel,0.0,1.12,0.09,0.0,1.2100000000000002
Falcom Corporation,0.28,0.0,0.91,0.03,1.21
Black Label Games,0.59,0.46,0.0,0.15,1.2
Playlogic Game Factory,0.94,0.16,0.0,0.11,1.2
Gathering of Developers,0.61,0.47000000000000003,0.0,0.12,1.19
